id,text
CPQEBDq7cspBB_AFYHvTDw,"This honestly might have been the BEST meal I have ever eaten. First off, if you have a choice between sitting at the sushi bar and sitting at a table,..."
CPQEBDq7cspBB_AFYHvTDw,"Wow!!! The hype was very real. I always said I wouldn't wait outside in a line for food and I did it and I'm not even mad about it LOL 

It was so worth it,..."
CPQEBDq7cspBB_AFYHvTDw,"12/8/19
Another great experience at Uchi. Birthday dinner was on point but I just wanted to give a shout out to the Uchi folk for sending out a custom plate..."
P0VziPp_DuKBol_YNKLqSw,"Honestly...I find it hard to articulate how much I like really this place. But I'll try my best. 

I went there around 7pm for dinner. The restaurant was..."
P0VziPp_DuKBol_YNKLqSw,The reason for three stars is that you may not make modifications to ANY items that were needed for us for religious/dietary reasons. We really came to try...
P0VziPp_DuKBol_YNKLqSw,I've had this place bookmarked forever! But it is a bit of a drive and the wait times daunting so I never went. Until I read on Yelp that you can actually...
2pyptDpBy5zyU2w8g3plvA,"Perfect. Night. Out. 

I've been to Niwa a few times now and have always had a great experience. People are iffy about the 'I'm paying to make my own food'..."
2pyptDpBy5zyU2w8g3plvA,"I absolutely love this place! We have been coming here since it opened. The food is delicious! The meat is of high quality, the vegetables to grill are..."
2pyptDpBy5zyU2w8g3plvA,"I don't know why I'm just now trying this place?!

I really don't like cooking my own meat but this place was definitely well worth it! 

First off I love..."
tNHmItQxcwtJX6RytsDXtQ,"Oh my god!!!
It was so delicious.
I feel like I was in real Japan.
I prefer chicken karate, and yuzu ramen.
I definetly recommend it.
I cannot wait to come..."
tNHmItQxcwtJX6RytsDXtQ,"This place is just awesome and amazing, honestly this is the type of ramen I have been hoping for long, think most of Japanese ppl may feel the same way too..."
tNHmItQxcwtJX6RytsDXtQ,"Value 4/5
Taste 4/5
Service 4/5
Presentation of food 4/5
Appearance of the establishment 4/5"
ZOLgbQcQryqYgfrfPLFuFw,"Food: 5/5
Service/Atmosphere: 5/5

I was extremely excited to hear that a Japanese restaurant was opening in the area, as there are very few near by...."
ZOLgbQcQryqYgfrfPLFuFw,Yay! A good Japanese spot super close to my apt. I ordered the Hibachi Shrimp and Chicken with spring rolls. I would have preferred the chicken cooked a...
ZOLgbQcQryqYgfrfPLFuFw,"This review is based on a single visit.

OEC Tokyo seems like an okay place. You order and pay at the counter and then seat yourself. They'll bring your..."
NHWU88c4bl08C8kgCdJP9g,"This may be the best ramen over EVER had! Im no ramen guru, but I've had my fair share, and this bowl of Tonkotsu was the perfect temp, not too fatty, and..."
NHWU88c4bl08C8kgCdJP9g,"Pretty awesome. I liked their old braised pork rib recipe MUCH better than this new over cooked rib...

Great taste for the broth though!"
NHWU88c4bl08C8kgCdJP9g,"Delicious ramen, rich flavors, excellent and fast service. 
Very cute izakaya feel inside. 
Great selection of Japanese beers. 
Overall had a very good..."
TW26kvzinYpJrUd6z89OZw,"This place serves up some seriously good sushi!!

I ordered the Spicy Beltline Roll: Shrimp Tempura Roll topped with Spicy Tuna and Special Sauce. It was..."
TW26kvzinYpJrUd6z89OZw,This a great place for authentic Japanese food. It is family-owned by immigrants. The menu is not just sushi (although the selection is impressive!); they...
TW26kvzinYpJrUd6z89OZw,"We went here because Mr. Max had a long wait, and we hadn't tried this place yet. It was really great! Authentic Japanese tapas style items, grilled..."
k27jXR4s14mHbsVUBXEN3w,"Some friends and I decided to indulge our craving for Japanese food and chose Ken Japanese Bistro.  It is located on one end of an old strip mall, with poor..."
k27jXR4s14mHbsVUBXEN3w,"You ever sit through a movie that 20 minutes in you're dying to get out of but realize there's still another 2 hours left? 

Unfortunately, that was my..."
k27jXR4s14mHbsVUBXEN3w,"I've been on the hunt trying to find my favorite takoyaki place for a while, and I think I finally found the place. Most of the places are so skimpy on the..."
1zIcqPUomNr16XKV_W1rVQ,"Amazing sushi - made my birthday party super special by giving us some free sashimi!  I have no idea what it was that they gave us, but it was incredibly..."
1zIcqPUomNr16XKV_W1rVQ,"Cute decor. Smaller restaurant 

Love the sushi- very fresh. My facorite is the one with chili and truffle oil. Sushi presentation is pretty on some of..."
1zIcqPUomNr16XKV_W1rVQ,"Wonderful restaurant with great menu options and tasty rolls. They have one of the most genuine, nice, and caring staff (both waiters and chefs) that we've..."
fOO-vLEqVOmC72JcnC0LwA,"This place is amazing! The sushi, service, and location are all incredible.

We had their Yellowtail Sushi, Shishito Peppers, Ocean Garden Roll, and the..."
fOO-vLEqVOmC72JcnC0LwA,"Beautiful location and atmosphere. Mediocre sushi, rice, and service. 
I understand the location and overhead would justify the prices be a bit above..."
fOO-vLEqVOmC72JcnC0LwA,"The sushi here is really good!! Very fresh and has some unique flavors. Very palatable! 

The inside looks a bit small but theres lots of tables and can fit..."
zKefQAZXhLDGA18TxQhxyQ,"Great sushi!
I've tried a bento box and everything was delicious.
Salmon sushi are better than blue fish and even Sushi 469(sorry guys)."
zKefQAZXhLDGA18TxQhxyQ,I am an avid sushi eater and was looking for something comparable to what I would get at home in Michigan. My hopes were pretty high since the Dallas area...
zKefQAZXhLDGA18TxQhxyQ,"So, I never went to sushi yokohoma, but I had it ordered and delivered to me. Therefore, my yelp review is only on the food and not the service and the..."
f0sSSZKKoeTonRcn_FuUxg,"The staff is super friendly. Service is fantastic!! Chondon is a super star in service!

This has become our go-to fav! I finally made a change and tried..."
f0sSSZKKoeTonRcn_FuUxg,"Another win for yelper's: you placed this restaurant so high in your reviews and it delivered! 
Don't hesitate to ask how all hot-pot routine works (and..."
f0sSSZKKoeTonRcn_FuUxg,"I love love this place! Stopped in on a whim after the gym, and so glad I did. The food was amazing, and the service was amazing! Ava was our server and she..."
dXIT5CBsY8v0I_iGe6I-pw,"Stopped by for lunch and was really impressed with the quality of the rolls.

Pro-tip - They serve you one roll at a time (from what I experienced). Don't..."
dXIT5CBsY8v0I_iGe6I-pw,"Not sure what all the hype was about this place. Went here for a date night because the reviews seemed promising.I ordered the ""Like me"" set which included..."
dXIT5CBsY8v0I_iGe6I-pw,"First, I love the atmosphere. Seems like a hand roll type of place.
I dunno if that's a thing, but when I walked in, it was like how I expected.

They make..."
ryRAc-URKYwVCzvLxzUSmA,Went here for their Monday all day happy hour! Was able to get some hand rolls on their HH menu and some on their normal menu. Highly recommend going HH so...
ryRAc-URKYwVCzvLxzUSmA,"This handroll joint offers one of the best happy hours in DFW! Their happy hour menu is extensive, and you are bound to find something that you like.  They..."
ryRAc-URKYwVCzvLxzUSmA,"Haven't been inside yet to eat- will definitely go on a Monday for all day happy hour

Ordered a bunch of random rolls and vegetables and appetizers online..."
KKf3Sn8ll0SniJ7I6mxUKQ,"We had initially give to deep ellum to try a sushi place out there... Horrible traffic, horrible parking, just an awful experience, so we decided to head to..."
KKf3Sn8ll0SniJ7I6mxUKQ,Decent sushi for a decent price. I got the hamachi roll and shrimp tempura roll. Both were good and fresh. Service was great! Our group of 7 people had an...
KKf3Sn8ll0SniJ7I6mxUKQ,"Coming from SoCal, we've had our fair share of top quality sushi. So when we moved to Dallas, we were worried that there wouldn't be as many good sushi..."
kS__1R78Ghwu3WBZeLoYKg,"7/10/19
We returned today at lunch for my friend's birthday And it was a wonderful presentation of food, celebration and kindness from the restaurant..."
kS__1R78Ghwu3WBZeLoYKg,"****UPDATE**** 8/28/19
Received a message from the owner (Alma) apologizing for our 1st experience. Alma is absolutely AMAZING. She gave me her number &..."
kS__1R78Ghwu3WBZeLoYKg,"This place is just meh. Okay food with okay service. We waited for a bit, no one greeted just eye contact until we were seated. The restaurant itself is..."
3Xs7T3DEkBw9XB24J4WHqA,I wanted a healthy but filling meal before a road trip with my boyfriend. We decided to try Hibiki. We sat outside because the front porch is cute and the...
3Xs7T3DEkBw9XB24J4WHqA,"Awesome sushi roll restaurant! They also have a great selection of Japanese whisky - they carry hibiki, hakushu, yamazaki, just to name a few. 

We..."
3Xs7T3DEkBw9XB24J4WHqA,"Absolutely amazing drinks and fantastic food. We stopped in before bar hopping and this was the highlight of our night. 
As soon as we walked in, we were..."
tIKmYaew9k96LjO8s2fjlg,"Great meal and value. We did the 2 person dinner upgraded meat menu.

We tried the spicy hot pot (level 1) but it was too hot for my gf. They were very nice..."
tIKmYaew9k96LjO8s2fjlg,"3.5 stars

I was excited about this place because I wanted hot pot, but the only option was AYCE (you cannot do a la carte). The AYCE option was $27 and..."
tIKmYaew9k96LjO8s2fjlg,Wowwwww what an awesome experience! Our server Wesley was great at explaining the menu thoroughly for the first timers. Our party of 10 adults and 3 kids...
6ulFQghzBxBAQaIJUPmO4Q,"This place is delicious! It's tucked away on top of Bistro 31, so it can be a little hard to find, but look for the big ""31"" for Bistro 31, and you go up..."
6ulFQghzBxBAQaIJUPmO4Q,"I would definitely recommend their apple mule, very different than any other place. Wait wasn't bad for a Saturday night. Sushi was served at 1am fresh and..."
6ulFQghzBxBAQaIJUPmO4Q,"This is a great place for Sundays! We went and took advantage of the Sunday champagne special, and had some delicious sushi. Such a great deal in a great..."
JZHeiLot4vOed8Pi8UifQg,My wife and I visited the restaurant for the first time tonight after hearing so many things about it from my niece.  Walking into the restaurant reminded...
JZHeiLot4vOed8Pi8UifQg,"Interior is just modern .. clean.. minimalist. Nothing to rave about. 

Price point for ramen is a little high.. ordered spicy garlic ramen but not really..."
JZHeiLot4vOed8Pi8UifQg,"First time visit based on good review. We ordered spicy garlic ramen and pork chasu ramen, and garlic pork ramen. Three ramen bowls are tasty and excellent...."
dZraxQo3SuMSnGPslIayAA,Tried the one in Nebraska which was awesome!!!! Now we're here in Dallas eating dinner at the Blue Sushi and this chain has the best Asian-fusion sushi...
dZraxQo3SuMSnGPslIayAA,First time at Blue Sushi Sake Grill. Didn't have too long of a wait buttt we were confused when people were walking in after us and immediately being...
dZraxQo3SuMSnGPslIayAA,Very average food and below average service. Was there on a date and our waiter brought my food out about 25 minutes after my date's food arrived. Killed...
qLzz2sb-EkY0V1sjN54IHQ,Stopped here yesterday for the first time. I ordered To go and still had great service. The inside is rather small so note if you come in during busy hours...
qLzz2sb-EkY0V1sjN54IHQ,"This is an unassuming sushi place in old carrolton , but don't be fooled by its appearance . The sushi is seriously good . They mention on their website..."
qLzz2sb-EkY0V1sjN54IHQ,"I'm not really a big fan of sushi but this place was actually really good! 

We came at a random time of the day so it wasn't too busy but the waitresses..."
88ujCJcR_Kk95Lto2YL2qg,Wow! I was very impressed!  I was walking downtown and noticed this place had just opened up on the other side of my office building.  I am usually kind of...
88ujCJcR_Kk95Lto2YL2qg,"As others have said, the quality of the sushi for the price is simply amazing, especially Downtown. 

The portions are generous,  I usually get the lunch..."
88ujCJcR_Kk95Lto2YL2qg,"This place is walking distance from thanksgiving tower, and such a great choice for fast lunch or dinner when you get off of work. New cute little cafe,..."
SsF_bm3MXBdGZQ4XMicQ5w,"I was in there with my parents and daughter for be first time last week, and it was incredibly amazing. The quality food they have is amazing.
It's a cute..."
SsF_bm3MXBdGZQ4XMicQ5w,"Wow!  This place was surprisingly good.

I was driving by and saw the sign.  I figured it might be Hawaiian style cuisine base on the name and I've been..."
SsF_bm3MXBdGZQ4XMicQ5w,Went out of my way to come here. Arrived at 7:20 (hours say they close at 8:00 pm on the door) during open business hours for them to tell me they are...
XILbkSHkD61fNzPDHjNmcA,Nice new restaurant in Rowlett. Loving the addition of new culture and variety in our city. Service was great! Very attentive and helpful in choosing...
XILbkSHkD61fNzPDHjNmcA,The ahi tower is fantastic! Just the right amount of spices. The pan seared pot stickers were cooked to perfection. Great service. Definitely will be back.
XILbkSHkD61fNzPDHjNmcA,"WOW!  We had the poke, recommended by the owner and it was awesome!  Salmon was very very good!  Love seeing new businesses in Rowlett!"
OBVPx-Cu7G-GU52PVQGuiQ,"They nailed it here. Excellent food, attitude, ambiance and price. Couldn't ask for a better experience.

The Ahi Tuna tower bowl was delicious as were the..."
OBVPx-Cu7G-GU52PVQGuiQ,"I was in Dallas for work and have been eating heavy food the past few days, so I wanted something light and fresh for lunch. After browsing around Yelp, I..."
OBVPx-Cu7G-GU52PVQGuiQ,I selected this restaurant because of the reviews on Yelp. I knew going in that I wanted the Ahi Tuna Tower bowl. I also ordered the coconut soup and salad...
CVz9J6J4i4yXbJLu14KGNw,Outstanding gem in west oak cliff. The food is amazing  and delicious. Believe the reviews it's worth the trip.
CVz9J6J4i4yXbJLu14KGNw,"Customer service is excellent here they are very attentive to there customers even when busy.
Appetizers: gyozas freshly fried great taste and a egg roll it..."
CVz9J6J4i4yXbJLu14KGNw,"Can't go wrong with this place!
Literal hidden gem in oakcliff.
I've never ate anything bad from here everything  is good & so tasty.
Made fresh & hot for..."
R3A0_0vVN9VyP8AxtNAovg,"Delicious! Love it! Worth the 27min drive!!! Just come and try! Fair pricing too!
Everything is very fresh! 
Excellent customer service too!"
R3A0_0vVN9VyP8AxtNAovg,"This new spot opened up down the street from where I work. 
Glad I gave it a try as my old go to spot for Asian Fusion food turned bad. 
This is a fast..."
R3A0_0vVN9VyP8AxtNAovg,Great Japanese food at an excellent price! Would recommend trying it out if you're in the Irving area.
lWFcFHRxSARWWvSbixPvug,"We tried this place for our 6th wedding anniversary. We are huge fans of hibachi so we are picky. 

This place had at least 6 stations that could be used..."
lWFcFHRxSARWWvSbixPvug,Sat quickly and came for first dinner experience. My daughter ordered the chicken bento box and it was a huge amount of food! I ordered from the happy hour...
lWFcFHRxSARWWvSbixPvug,"Great sushi!! 
Pork pan fried gyozas great!
Philly roll fresh!
Spicy Santa roll yum!!
Great service!! 
Im going to have to try the hibachi again. Tried when..."
eh30OPaqQuDrDHimU0WiXw,"I assume the name come from the one of the seven fortune gods in Japanese mythology . Such a lovely name .

The interior design is really stylish and modern..."
eh30OPaqQuDrDHimU0WiXw,"Try Toro nigiri!
All they serve are so good! 
I'm so glad I can have this fancy and quality food in Plano!"
eh30OPaqQuDrDHimU0WiXw,"This is probably the best sushi and robata restaurant I've been to in Dallas. The minute I step foot into the restaurant, I was greeted with sincerity and..."
gZi9FLqpxP5oE6vwGI5vag,"Wasn't super excited about trying it because of how it looks on the outside but don't judge this book by its cover.

Wonderful, attentive staff! Amazing..."
gZi9FLqpxP5oE6vwGI5vag,"I would love for this place to succeed, but there is a reason it is empty on a Saturday night. $11.00 for a bowl of Ramen and the same for a Sushi roll is..."
gZi9FLqpxP5oE6vwGI5vag,We were just driving through DFW and this gem popped up on our google search for ramen near our location. What a tasty surprise! A humble establishment with...
jThU2t1oGyPKm5b3DoARHQ,"We went here just to unwind after a long work/school day. The service is great -as we've come to expect at most family owned places. Our waiter was funny,..."
jThU2t1oGyPKm5b3DoARHQ,"So so so glad my wife found this spot!!!
We thought they were closed for lunch but the server grabbed us as we were getting back in the car to tell us they..."
jThU2t1oGyPKm5b3DoARHQ,"Compared to many other sushi bars in town, Sushi Rock feels a lot more homey and relaxing. It might be the classic rock or the fact that the waiter was so..."
zOeOw0acLncHQvU9gv-H9g,"In my opinion, this is the best sushi in Dallas.  We like to dine here frequently and love the privacy of the sushi room.  We usually see Calvin and Maria..."
zOeOw0acLncHQvU9gv-H9g,I can't believe we only now found this Amazing place by our house. The sushi is high quality fish and the service is amazing. Best time we come we need to...
zOeOw0acLncHQvU9gv-H9g,"High end, Uber fresh delicious sushi with the downtown feel right here in the burbs. I probably shouldn't write this review as I feel that mercury sushi is..."
H9FhKrox5np9_2n0OfZgyA,"We went here mistakenly thinking it was Korean bbq. In my defense, it showed up when I searched for ""Korean bbq"". We did not regret it. 

This was our first..."
H9FhKrox5np9_2n0OfZgyA,"Had to knock off stars. Friday nov 22 we went back .. been there often. Server was Chloe. Didn't change our grill once .. until at the end I asked. 

My 10..."
H9FhKrox5np9_2n0OfZgyA,I have been to about 5 or 6 different Gyu-Kaku's across 2 different states and this location in Plano is by far my favorite and has been the most consistent...
lsHsv8SSsmACWDBhZqt6Fg,Great food! Can't say enough about this place. Hispanic server is great. Greets you by name if you're a regular.
lsHsv8SSsmACWDBhZqt6Fg,"Going with a solid 4 stars. Smallish place, but clean.  In a big outdoor shopping center, easy to find, easy to park.

Went during Lunch Menu hours, we..."
lsHsv8SSsmACWDBhZqt6Fg,"I went here during lunch on a weekday and it fills up but the service is quick and speedy! Also, if you dine during lunch, they give you the soup of the day..."
tIuNL-15f31dugJahpl6vw,"Sushi Kadan is great, the taste, quality, price, ambience, service, all awesome. 

I ordered two rolls for myself as most of the time I feel like rolls at..."
tIuNL-15f31dugJahpl6vw,"So here is my 2 cents. Since I know little about sushi these days. But at some point of my life I was an expert. 
So here it goes. 
This place is overly old..."
tIuNL-15f31dugJahpl6vw,"such a cute little place next to a boba shop, but i tried two of their rolls and they tasted identical to each other. it was smothered in eel sauce. the..."
8jSQeEGtV1tqdr6pMv3p5A,"Having worked in Addison for 15 years, every now and then I just have to search Yelp for new restaurants, and noticed Ginza was a new option. 

I was happy..."
8jSQeEGtV1tqdr6pMv3p5A,Was craving some fried rice and came here for the lunch special on hibachi. I got the chicken and shrimp meal and it was very reasonably priced and fast...
8jSQeEGtV1tqdr6pMv3p5A,Super delicious! Their hibachi and sushi are very fresh and tasty. I would definitely go for the steak and shrimp hibachi! The miso soup and their dumplings...
kSbo1UsH-Ffwb-fGcyqOFQ,"We have been waiting for this place to open for a few weeks.  Finally had the chance to try them on what I think was their third day of being open.

We..."
kSbo1UsH-Ffwb-fGcyqOFQ,We received the menu in our mail today so we decided to check it out. We were not disappointed. The food was fantastic and the prices were even better. We...
NGGcqovgvKOZwrUjKdfH4w,LOVE this place! Can't say enough good things about it. My mom cooked Korean food for a living so I'm a hard one to please. This place is an amazing deal....
NGGcqovgvKOZwrUjKdfH4w,"MIRA, MIRA, MIRA!!! 
Definitely ask for Mira to be your server if you can. She's AMAZING! She definitely took care of us like any mom would.

Easily a..."
NGGcqovgvKOZwrUjKdfH4w,"Our friend celebrated his birthday there. We had close to 20 people and we had a nice area for our group. Our waitress and waiter were great, they explained..."
ekeUepXhlRTnsEMt42PvUw,"GREAT PLACE TO GET CHEAPER Hibachi STYLE food.  

I spend over $100 on 2 of us at a Hibachi place for the same great foot here for under 1/2 that... who..."
ekeUepXhlRTnsEMt42PvUw,"The server is super sweet and friendly. I think her name is Biki based on my receipt. Every time we go there, we'll see her. Hands down one of the best..."
ekeUepXhlRTnsEMt42PvUw,Let me start by saying the staff was nice and did not make us pay for one of our rolls when we mentioned there was something wrong with the...
5UCIfPtPwZmaAIbbXRWO8g,Went on a Wednesday for lunch it was quiet and very clean. The fat boy roll was great. I loved the peach sake. The prices were very reasonable. I tried the...
5UCIfPtPwZmaAIbbXRWO8g,They are generous with their ingredients. Ya know when you want to add cream cheese or avocado to a sushi roll and places charge you a dollar and its BARELY...
5UCIfPtPwZmaAIbbXRWO8g,"Husband and I came here for a quick sushi lunch after some shopping, based on the glowing reviews we read. Unfortunately, we won't be returning.

The..."
3y9YwdT1AKeqQeyAs3fGLA,"Love this place, frequently take my family here for dinner when things get busy during the week.  The servers are very attentive and friendly.  They also..."
3y9YwdT1AKeqQeyAs3fGLA,"Perfect spot for a quick snack break!  

My 9 yo and I stopped in for a light dinner and she was so happy with her salmon roll.  Seriously the chunks of..."
3y9YwdT1AKeqQeyAs3fGLA,"I'm a BIG fan of this place for many reasons.  One, their takeout service is just as great as eating in.  Two, there fish/sushi is delicious and so balanced..."
xnWqdhHYaOOnI6f7gZYK4A,Great Food! New business here in Mesquite. Family owned and very friendly. Got the Kung Pao chicken with steamed chicken. This new place will definitely be...
xnWqdhHYaOOnI6f7gZYK4A,Nice addition to this side of Mesquite. Supper friendly staff. Offer free taste and lots of options. We did the Create Your Plate option. Good price. Food...
xnWqdhHYaOOnI6f7gZYK4A,Had them the other day they are pretty good. Beat wontons I've had ever. I'd went through the drive thru it took about 20min for me to get my food quite a...
mGdzFQD2qM_GiwQNoNTJaQ,"First time at the location. I visited during dinner- the location wasn't too busy. The decor was trendy and the setup was spacious . 

The food was..."
mGdzFQD2qM_GiwQNoNTJaQ,"Frisco, Texas

Love this place. Been 3 or 4 times, consistently excellent. Black Garlic Ramen, Spicy Ramen both great.  

My favorite Ramen in town."
mGdzFQD2qM_GiwQNoNTJaQ,"The Spicy Chicken Karaage is the best in DFW!!!
Most places give small bits of chicken, and a splash of spicy dressing. The portions are so big, this should..."
04uaXv7jEV4W_30WJj2k-g,"New owner new service new everything. 
They first have a very honest service. Good quality with heart. Family owned and operated. Their sushi is very good..."
04uaXv7jEV4W_30WJj2k-g,"Sushi and sashimi was very good.

Chicken was too dry.  

Owner ask too much personal question if you speak same language.


I mean... do i really have to..."
04uaXv7jEV4W_30WJj2k-g,I am happy to have found Tsunami in Flower Mound. I have tried many sushi restaurants since moving to Texas over a year ago. Tsunami outshines all the...
Txvf0S970jzUghmYEgMc4Q,"Even though I only ordered one item via GrubHub, it was so good that I wished I had ordered 2, which is why this review is an easy 5 stars.  I had the..."
Txvf0S970jzUghmYEgMc4Q,"I had a craving and we hadn't done hibachi in over a year. We keep seeing this place but never go, until now.  Once you step inside it is beautifully modern..."
Txvf0S970jzUghmYEgMc4Q,"Having our very late lunch here.

I ordered their Katsu bento box. Katsu Chicken were thinly sliced, it's crunchy and delicious. 

Serving staff is friendly..."
Al0o9RvsT6NqsBb4OODExg,"We went on a Sunday evening around 7pm, we were seated promptly. The ambience was good. 

we ordered the Chicken Paitan and the veggie Ramen with the veggie..."
Al0o9RvsT6NqsBb4OODExg,"I ordered ""spicy."" Im not sure if they messed up the order or if their spicy has literally zero spice in it. It tasted as if I got the ""no spice"" option. I..."
Al0o9RvsT6NqsBb4OODExg,"Finally got to try this place after hearing so many good things about it. 
We tried the gyoza and chicken karaage as appetizers and had the Ramen Hakata..."
WQbMbt_WwyUNxzg6QVzsEw,"Very tasty, quick and casual. Will be my new go-to restaurant in West Frisco.

Portions were generous and pricing was very fair. Far from an expert in true..."
WQbMbt_WwyUNxzg6QVzsEw,We love this place but it needs a tiny bit of tweaking. First- I think it's better for takeout than dine in. Service is quite slow some days which prevents...
WQbMbt_WwyUNxzg6QVzsEw,"Decided to check out this place when passing by and it turned out to be a great choice.

I loved the fact that I could build a bowl and choose my vegetables..."
7T-UWwVlPKuuHnTzkoAN_Q,"This is a great family place.  We love the sushi and the habachi grill.  Nice atmosphere and a neat sushi bar. 

We come here a couple of times a month...."
7T-UWwVlPKuuHnTzkoAN_Q,"Great, low-key sushi and hibachi restaurant in an upscale, quiet neighborhood.

The service was quick and friendly, the restaurant appeared clean, and they..."
7T-UWwVlPKuuHnTzkoAN_Q,"Excellent sushi with a beautiful view! Very please with this dining experience for several reasons-- 
1. They don't play around with their fish to rice..."
